"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Portugal (PT)","12.02.2022 15:00 - 12.02.2022 16:00 (UTC)","429","n/e","n/e","n/e","2107","0","n/e","n/e","n/e","n/e","0","503","38","0","n/e","n/e","29","n/e","353","n/e","0","197"
"Portugal (PT)","12.02.2022 16:00 - 12.02.2022 17:00 (UTC)","427","n/e","n/e","n/e","2421","0","n/e","n/e","n/e","n/e","8","4","77","9","n/e","n/e","29","n/e","196","n/e","0","222"
"Portugal (PT)","12.02.2022 17:00 - 12.02.2022 18:00 (UTC)","415","n/e","n/e","n/e","2595","0","n/e","n/e","n/e","n/e","824","2","744","36","n/e","n/e","29","n/e","58","n/e","0","339"
"Portugal (PT)","12.02.2022 18:00 - 12.02.2022 19:00 (UTC)","411","n/e","n/e","n/e","2577","0","n/e","n/e","n/e","n/e","1381","1","1143","145","n/e","n/e","29","n/e","1","n/e","1","497"
"Portugal (PT)","12.02.2022 19:00 - 12.02.2022 20:00 (UTC)","407","n/e","n/e","n/e","2584","0","n/e","n/e","n/e","n/e","1156","1","1234","113","n/e","n/e","29","n/e","0","n/e","0","637"
"Portugal (PT)","12.02.2022 20:00 - 12.02.2022 21:00 (UTC)","397","n/e","n/e","n/e","2578","0","n/e","n/e","n/e","n/e","852","2","1065","117","n/e","n/e","29","n/e","0","n/e","0","683"
"Portugal (PT)","12.02.2022 21:00 - 12.02.2022 22:00 (UTC)","386","n/e","n/e","n/e","2403","0","n/e","n/e","n/e","n/e","41","13","978","64","n/e","n/e","28","n/e","0","n/e","0","525"
"Portugal (PT)","12.02.2022 22:00 - 12.02.2022 23:00 (UTC)","382","n/e","n/e","n/e","2191","0","n/e","n/e","n/e","n/e","9","383","820","1","n/e","n/e","28","n/e","0","n/e","0","353"
"Portugal (PT)","12.02.2022 23:00 - 13.02.2022 00:00 (UTC)","389","n/e","n/e","n/e","1161","0","n/e","n/e","n/e","n/e","150","173","870","5","n/e","n/e","27","n/e","0","n/e","0","379"
"Portugal (PT)","13.02.2022 00:00 - 13.02.2022 01:00 (UTC)","394","n/e","n/e","n/e","532","0","n/e","n/e","n/e","n/e","143","4","820","51","n/e","n/e","28","n/e","0","n/e","1","525"
